鲁商凤凰广场药谷博科水发集团企业公馆唐冶中路鲁商凤凰城单间,3室2厅2卫,合租 - 次卧,25,南,低层 / 34层,历城,鲁商凤凰广场,历城唐冶 - 唐冶中路,650,无,"['热水器', '洗衣机', '沙发', '宽带', '可做饭']",房屋推荐特点：龒、户型特点：中高层、户型方正、采光视野好，适宜居住。龤、室内精装修，拎包入住，宽敞大方，使用率高；卧室温馨舒适，搭配心怡，厨房设施齐全。驋、环境优雅，低密度社区，小区绿化率高，让你每天生活在空气清新的环境下。餼、小区地理位置好，位于商业圈，交通便利，出小区就是站牌，小区周边配套设施齐全，银行、超市、菜市、学校、医院、商务会所，应有尽有。小区环境幽雅，绿化面积大，家里家室家电齐全，可带衣物直接入住！看房方便，提前预约！
精装大两室家具家电齐全 拎包入住 紧邻欧亚大观和谐广场,2室1厅1卫,整租,89,南北,中层 / 33层,槐荫,阳光100国际新城T区,槐荫阳光100 - 建新路,2500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",生活设施配套齐全人文素质极高封闭式小区人身安全有保障
政府宿舍(姚家)出租精装修  附近山东省武术院 齐鲁工业大学,3室1厅1卫,整租,85.31,南北,高层 / 6层,历下,政府宿舍(姚家),历下姚家 - 解放东路83号,2199,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",【格局】3室1厅1卫，采光好，视野无遮挡。【价格】租金2199元/月【装修】房子居家精装，保养全新【图片为本房图片】【看房】24随时。公交：18路、62路、504路、k53路（武警医院站），18路、504路、62路、k53路（姚家小区站），306路、k145路、152路、202路工作日高峰车、119路、k160路、brt5路、k139路、115路、326路、504路（华洋名苑站）大学：审计学校、环保学校、建筑工程学校、山东大学南校区、山东经济学院、山东旅游学院、山东政法学院商场：银座燕山店、万嘉隆购物广场、燕山小商品市场、统一银座、甸柳吉祥商业街医院：妇产医院、省中医药研究附属医院、甲状腺疾病防治中心、武警总队医院、省立医院东院邮局：开元邮电支局、姚家邮电支局银行：农村信用社、农业银行、中国银行、建设银行、工商银行、中兴银行、齐鲁银行、兴业银行、渤海银行其他：世纪人和商务酒店、富雅大酒店、聚福林海鲜城、威海海鲜城、巴山蜀乡小区内部配套：小区内有免费停车位、娱乐健身设施、小餐馆、便利店
东山墅 精装修 189平 4室2厅2卫 价格可议,4室2厅2卫,整租,189,南北,低层 / 6层,历下,东山墅,历下历下周边 - 旅游路7号,6000,无,"['空调', '热水器', '衣柜', '暖气', '可做饭', '阳台']",1.四室两厅两卫2.房屋干净整洁，光照充足，可直接拎包入住。3.房屋精装修，厨房可做饭，4.随时入住
新出中海天悦府精装两室 就一套 速度联系 美莲软件园丁豪银荷,2室2厅1卫,整租,90,南北,低层 / 24层,高新,中海天悦府(北区),高新齐鲁软件园 - 舜风路700号,3000,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",龒.房源真实，南北通透，房屋宽敞，干净卫生，采光好，视野棒。免费wifi，家具家电等基本设施齐全，随时拎包入住，给您一个方便温馨舒适的居住环境。驋.房屋人员问题：为了营造干净、温馨、和谐、安全的居住环境，租客都是有素质的上班族，公司绝不租给不三不四，生活无规律，无正当职业，大吵大闹的租客。餼，可押一付一或押一付三，付-款方式灵活，解决您的资金紧张问题。龤.免费保洁，免费维修家具家电，配有专业维修后勤团队，免去生活烦恼。閏.小区介绍：地处成熟商圈，周围菜市场，超市，饭店，小吃街，银行，娱乐场所等生活设施一应俱全。小区绿化环境好，保安驋龤巡逻，居住安全可靠。服务保障：龒.入住安全放心有保障。驋.公共区域定期保洁，居住环境好。餼.我们在济南各地均有房源，只要您一个电话，我们风里雨里免费带您看房。让您在这个城市找到一个属于自己的温馨小窝。更多房源等你来挑
双气齐全！和谐佳苑 和谐广场 银座写字楼 连城广场 无中芥,3室2厅2卫,合租 - 主卧,25,南,中层 / 22层,槐荫,和谐佳苑,槐荫和谐广场 - 阳光新路,600,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",1.小区周边配套丰富，饭店，超市，生活十分便利！地理位置优越交通便利，多路公交经过家门口，附近公交车交通便捷！2.家里有床、衣柜，桌子椅子，空调等家具一应俱全3.有厨房，可以做饭4.房源价格低廉5免费上门维修6.客服定期检查卫生，排除电路水路等安全隐患7.租赁期间如有各项问题，我们客服为您排解解难协调调解重要的是无-中-介-费！！！温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租若您觉得此房源不能满足您的需求，本人拥有区域所有在租房源，欢迎点击我的主页，里面有更多的真实照片及价格的房源供您挑选，直到您满意
免租一个月 可短租 丰奥嘉园(北区) 国际会展中心 近地铁交,3室1厅1卫,合租 - 次卧,14,南,低层 / 11层,高新,丰奥嘉园(北区),高新国际会展中心 - 康虹路2335号,786,距离地铁R3号线花园东路站703米,"['电视', '空调', '热水器', '冰箱', '床', '暖气', '宽带', '阳台']","拒绝中jie,没有中jiefei，拒绝中jie,没有中jiefei，拒绝中jie,没有中jiefei，重要的事情说三遍！！！支付方式：押一付一，押一付三，半年付，年付，多种付款方式，房租压力无影踪!设施齐全：全新家具，品牌家电，冰箱，空调，洗衣机等应有尽有，洗澡做饭都很方便入住保洁：入住前深度保洁，做到拎包就能入住维修：家具家电及时上门维修，随时可预约交通便利：地铁、公交公共交通便捷无忧…随便去哪儿周边设施：周边各大商超、美食环绕其中，生活设施便利，吃喝玩乐，应有尽有品质租房，随时看房，从一个电话开始！"
年底打折 领秀城各区房源打折 精装修 暖气开放 拎包入住,3室2厅2卫,合租 - 主卧,30,南,中层 / 28层,市中,鲁能领秀城(A区),市中鲁能领秀城 - 领义路,550,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",一、【低价方便】1、水费电费都是正规居民用电用水费用标准；绝无乱收费现象；2、交通便利，短时间就可以步行到公交站牌；3、周边生活设施齐全，商场、超市、菜市场、银行、学校等应有尽有！4.实拍照片，可靠！二、【周边环境】1.闹中取静（非常静谧的地方），居家环境成熟，生活配套设施完善！2.物业管理，安全规范！三、【更无任何杂费】1.随时看房拎包入住！2.年龄超过50岁有不良嗜好的我一律不租，因为我这里的租客都是高素质的年轻人，毕竟谁也不想自己的家乱七不糟，自己居住的地方吵吵闹闹，我力所能及的就是让我的房客住的安全舒适，谢谢合作！
汉峪金谷舜泰广场近邻恒大奥东新都3室精装家具家电齐全价格实惠,3室2厅2卫,整租,127,南,高层 / 31层,高新,恒大奥东新都,高新经十路高新段 - 凤山路,2800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.小区位于经十路北凤山路西世纪大道南凤凰路东近邻汉峪金谷，舜泰广场，金域蓝山，万科金域华府，三庆城市主人，体育学院，齐鲁软件园，文化创意基地，高新万达广场，智远小学等地理位置较好。2.小区门口多路公交出门即站牌出行快速便捷。3.小区环境优美，绿化面积大，安全静谧。4.小区周边配套设施齐全，超市，药店，银行，幼儿园，小学等生活较便利。5.房间统一精装豪装，全自动洗衣机，冰箱，热水器等家电齐全，拎包即入住，家具家电可按照您的需求配置。6.万科物业居住舒适性高，安全性高。给您一个舒适的家。7.价格实惠，物有所值，业主诚意出租，看房随时！
真实照片！真实价格！龙湖天街康桥颐东东向卧室带空调出租,5室0厅1卫,合租 - 次卧,18,东,高层 / 28层,高新,康桥颐东,高新齐鲁软件园 - 新泺大街4326号,800,距离地铁R3号线礼耕路站979米,"['空调', '热水器', '洗衣机', '床', '衣柜', '暖气', '宽带']",该房源照片真实！价格真实！不整虚的浪费时间！非诚勿扰。1、位置优越，小区周边银行林立，商铺众多，购物方便。2、交通便利，地处工业南路南侧，路过公交众多，出行方便。3、紧邻燕山新居、铁建大厦、龙湖天街、黄金时代广场、金宇大厦、鲁商国奥城、宝威科技、等等上班地众多4、房间家具齐全，有无线网，24热水器，全自动洗衣机，房间干净整洁，随时拎包入住
洪楼印象城花园路历山路东关大街大明湖老东门德云社,2室1厅1卫,整租,68,南北,中层 / 7层,历下,历园新村,历下花园路 - 花园路189-2号,1800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",随时电话联系看房如不方便可加：（卫心）看序列号！→（1）（5）（3）（3）（9）（9）（5）（4）（3）（5）（6）一、房源优势：1、全明格局2、客厅宽敞大气；非常干净二、户型介绍：1、朝向：南格局方正使用率非常高2、客厅宽敞舒适、落地阳台让充足的阳光不留余地的照进来3、卧室非常温馨，面积特别合理4、厨房宽敞，让您和家人有足够的空间展现私家厨艺5、连接客厅和厨房之间是您和家人享受美味的餐厅，让您热情的招待亲朋好友三、社区介绍1、环境优美适宜人文素质高物业管理完善2、小区治安好；安静安全3、小区属于低密度社区，非常适宜4、小区绿化率高，让您感受
可短租 祝甸路历城第五中学全福立交桥华山凯贝特大厦拎包入住,1室1厅1卫,整租,45,南北,中层 / 12层,历城,祝甸东方花园,历城祝甸 - 祝舜路,1150,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",一社区环境：1.周边交通便利：紧邻城市主干道享受数十余公交线路等便利的交通设施。2.专业打造一个纯居住的小区，绿化率高，社区环境好。二推荐理由：1.的经典户型，，客厅卧室全带阳台飘窗，明厨明卫，居住非常舒适，利用率超高！2.业主自己装修的，家具家电俱全！2.租价合理，非常超值，业主诚意出租，看房随时！欢迎您点击我的头像进入我的店铺，有更多超值户型等您选择，期待您的！！另：本人郑重将为您的电话号码提供保密，以免让您接到不必要的打扰电话！！
可月付 汉裕金谷 重汽 浪潮 奥体 龙奥大厦  拎包入住,1室1厅1卫,整租,40,南,低层 / 18层,高新,华皓英伦联邦,"高新汉峪 - 旅游路,奥体东路",1349,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房屋推荐特点：1、户型特点：中高层、户型方正、采光视野好，适宜居住。2、室内精装修，拎包入住，客厅宽敞大方，使用率高；卧室温馨舒适，搭配心怡；厨房设施齐全，让美味来得更加轻松。3、环境优雅，低密度社区，小区绿化率高，让你每天生活在空气清新的环境下。4、小区地理位置好，位于商业圈，交通便利，出小区就是BRT站牌，小区周边配套设施齐全，银行、超市、菜市、学校、医院、商务会所，应有尽有。小区环境幽雅，绿化面积大，家里家室家电齐全，可带衣物直接入住！看房方便，提前预约！
无中间费丨直租三室丨万象城省博，中润世纪附近丨拎包入住可带看,3室2厅1卫,整租,120,南,高层 / 22层,历下,卓越时代广场,历下浆水泉路 - 浆水泉路16号,2950,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",周边小区有房房屋推荐特点：1、房子格局很好，X室X厅X卫，户型方正南北通透。2、设施完善，出门就有地铁站、公交站和大型商场。3、房子处于中高层，前面无遮挡，事业和采光都非常好，居家。4、房东近期要去别处工作，急租，机会难得。5、看房非常方便，提前一个电话就等候您的到来。3、房屋推荐特点：1、户型特点：中高层、户型方正、采光视野好，适宜居住。2、室内精装修，拎包入住，客厅宽敞大方，使用率高；卧室温馨舒适，搭配心怡；厨房设施齐全，让美味来得更加轻松。3、环境优雅，低密度社区，小区绿化率高，让你每天生活在空气清新的环境下。4、小区地理位置好，位于商业圈，交通便利，出小区就是BRT站牌，小区周边配套设施齐全，银行、超市、菜市、学校、医院、商务会所，应有尽有。小区环境幽雅，绿化面积大，家里家室家电齐全，可带衣物直接入住！看房方便，提前预约！欢迎致电！5、房屋推荐特点：1、房子是、性价比高X室X厅，南北通透，空气流通，阳光充足。精致装修，温馨周到，中间楼层，比楼上的住户更接近风景，比楼下的邻居更感惬意。2、交通便利，楼下就有多条公交路线穿过，就能到达地铁口。3、周边配套设施齐全，超市、银行、医院、学校，一应俱全，满足您的生活所需。4、房屋精装修，家电齐全，可拎包入住。
可月付可短租包暖气 康虹路 新生活家园 盛世花城 丰奥嘉园,3室2厅2卫,合租 - 次卧,20,南北,低层 / 6层,高新,贤文花园(南区),高新国际会展中心 - 康虹路,800,距离地铁R3号线丁家庄站1575米,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",房源描述房屋亮点押一付一精装修1.精装拎包入住标配床衣柜电脑桌空调洗衣机热水器2.随h看房3.房屋的公共区及卫生间租客相互维持干净整洁4.爱护房子注意个人卫生切勿扰民5.相遇是即是缘分另有其他小区其他房型供您选择，期待您的来电，祝生活愉快！【装修】木地板白色墙面卫生间很大【家具】双人床，衣橱，电脑桌，【家电】洗衣机，热水器，空调【配套】市政集中供暖、管道天然气【方式及租期】可申请押一付一月付也可以走押一付三！统一精装修，地理位置优越，看房方便，欢迎联系我看房。
保利华庭  秦悦赫府  丰奥嘉园,3室2厅2卫,合租 - 次卧,22,南,高层 / 35层,高新,保利华庭,高新国际会展中心 - 奥体西路,700,距离地铁R3号线花园东路站420米,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",房源描述一.精装拎包入住标配床衣柜电脑桌空调洗衣机热水器二.随h看房三.房屋的公共区及卫生间干净整洁四，小区环境好出行方便购物便利五，房间设施齐全双人床衣橱电脑桌洗衣机热水器空调相遇即是缘分另有其他小区其他房型供您选择，期待您的来电，祝生活愉快！
无中 介 豪鲁电子商厦 北园大街三户合租公共厨房只要530,3室1厅1卫,合租 - 次卧,20,北,高层 / 6层,天桥,梁府小区(二区),天桥水屯路 - 东泺河路,530,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",感谢您从百忙中，点阅我的帖子，谢谢您！！•优势：附近商超很多，周边上班族很多，出门就是公交站•为了给大家提供一个好的生活环境，此房四不租：1.有不良嗜好者不租2.无正当工作者不租3.大吵大闹者不租4.养宠物者不租感谢您看我房源，在此我为您准备了很多合适的房间供您挑选！！正在打拼的您，我知道你的不容易，我们都是一样，想留在济南奋斗，我们会尽职的，为您提供一间温馨的小家，让正起早贪黑工作的您，忘却劳累！！！恋上一座城，爱上一个家，再寓美客业务员为您服务，本公司有大量房源，总有一间适合您！！！！
新出~百花小区华龙路~精装大两居~家具家电齐全~领包住,2室2厅1卫,整租,113,南北,中层 / 11层,历城,百花小区,历城七里河 - 华龙路2150号,1750,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.这个小区物业正规，24*物业，安全的很2、咱们小区周边有很多济南小吃，满足吃货的要求，之前我经常在这吃3、自家房子，价格低廉、房子照片都是我自己亲自拍摄的，随时看房，正规卧室，4、物品损坏24*内免费上门维修、我们有自己的维修师傅5、服每星期定期检查卫生，排除电路水路等安全隐患6、房间干净整洁、每天都会打扫卫生、希望租客能吧那当成自己的家、维护机自觉打扫卫生、7、租赁期间如有各项问题，我们客服为您排解困难协调调解温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租谢谢合作、
财经大学校内 精装南北通透 方便停车 随时入住环境优美安全,2室2厅1卫,整租,70,南北,共5层,历下,山东经济学院教工宿舍,历下浆水泉路 - 二环东路7366号,2400,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房屋亮点：独卫独立阳台南北通透配套齐全精装修房源描述：1.房子精装修，安静温馨，全套家具家电齐全，拎包即住，可做饭，双气2、小区周围超市，银行，菜市场，娱乐场所等生活设施一应俱全，休闲购物吃饭非常方便，满足您的各种生活需求！3、出门就是公交站牌，多路公交，交通便利，方便出行，解决您上下班的忧虑！4、精装双气，全新家具，干净卫生！5、小区环境优雅，绿化率高，干净卫生，居住温馨舒适，管理规范，安全有保障，拎包入住，是您的租房！
花园小区(二区) 2室2厅1卫,2室2厅1卫,整租,70,南,共5层,历城,花园小区(二区),历城山大路历城段 - 花洪路590号,1600,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",吉房位于花园小区多路公交车环绕周边，大润发、银座、印象城、国美、苏宁、工商银行、农业银行、建设银行、浦发银行、交通银行以及即将建设的德云社等近在咫尺出行很方便
可短租！洪楼广场七里堡环联 花园路59号 主卧带独卫 环境好,3室1厅1卫,整租,83,南,高层 / 7层,历城,环东佳苑,历城花园路历城段 - 花园路59号,2100,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']","1、高性价比付款方式灵活、季付、半年付、大程度方便住户，减轻租客压力2、白金地段，地铁口快捷交通。饭店、药店、水果店、各色小吃、便利店、足疗、美容美发、网吧、茶社、菜场等小型生活配套楼下醇熟配套，十分便利3、拎包入住房间均配置了大床、写字桌椅、温馨衣柜、洗衣机、24天然气热水，一应俱全，做到了真正的全装修拎包入住标准。4、配备齐全主卧：带独立卫生间，全新家具，床衣柜电脑桌家电：电视、洗衣机、厨房5、看房自由本房源真实存在，您只需要一个电话,即可带您看房,精装修,6.可入住时间：随时入"
可短租！华强广场山大中心校区银座数码 精装主卧 家具家电齐全,3室1厅1卫,合租 - 主卧,23,南,高层 / 6层,历下,山大路172号院,历下泉城路 - 山大路172号,999,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']","1、高性价比付款方式灵活、季付、半年付、大程度方便住户，减轻租客压力2、白金地段，地铁口快捷交通。饭店、药店、水果店、各色小吃、便利店、足疗、美容美发、网吧、茶社、菜场等小型生活配套楼下醇熟配套，十分便利3、拎包入住房间均配置了大床、写字桌椅、温馨衣柜、洗衣机、24天然气热水，一应俱全，做到了真正的全装修拎包入住标准。4、配备齐全主卧：带独立卫生间，全新家具，床衣柜电脑桌家电：电视、洗衣机、厨房5、看房自由本房源真实存在，您只需要一个电话,即可带您看房,精装修,6.可入住时间：随时入"
和平路 山师山艺 整租一居室公寓  实拍  拎包入住！,1室2厅1卫,整租,46,南,低层 / 20层,历下,诚基中心,历下和平路 - 和平路47号,1500,无,"['空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭']",房屋照片均为本人亲自拍摄！高效为您服务。小区配置：1.诚基中心所有房源均为双气房，落地大飘窗！视野采光棒！2.2010年新房电梯房，成熟社区院内购物方便！水电费也是全市统一价格。3.本店诚基中心一室，两室，三室，精装豪装居住，办公房，商住房，押一付一房各种价位均有！随时看房！免费看房！我们专注做租赁、买爱业务，并且拥有多种房源，因为专一所以专业！选择哈考特给您专业的服务！区位优势：1.济南真正市中心位置，坐拥和平路山师东路两条市区主干道！这里就是城市中心位置优越。山师购物街旁闹中取静，步行1即可到达济南泉城广场、趵突泉、泉城路等景点；2.出行交通便利门口站牌有102、K93、49、80、K96、2、151各路公交车均有站牌！家门口就是大型购物超市家乐福、大润发！办公地点：和平路诚基一期3号楼东北角哈考特不动产
地暖地铁口 月付力高国际 保利华庭 祥泰汇东国际新悦广场女多,3室2厅1卫,合租 - 主卧,22,南,中层 / 20层,历下,力高国际,历下康虹路 - 涵源大道,500,距离地铁R3号线花园东路站288米,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",房间标准配物：床、衣柜、床头橱、写字桌、椅子、空调、冰箱、全自动洗衣机、24热水器、天然气灶台、可做饭房费包含：光纤100兆宽带费、暖气费、物业管理费交费方式：押一付一减少经济压力！房间一房一价！房间朝向采光极好配套齐全精装修！所有照片均为装修后实际拍摄的！您在这个城市里，我不仅帮能您找到舒适的房子！如还需要其他帮助，我会尽我能及的帮助您！介绍：（1）房租押一付一，无中-介-费，公司自营直接出租。（2）居住问题管家报修，接单上门维修。冬有暖气、夏有空调。（3）无线宽带、衣柜、大床(床下超大储物空间)、电脑桌、椅子、晾衣架、空调、24*热水器、暖气、冰箱、全自动洗衣机、电磁炉、全套厨房、天然气可做饭。（4）我们的小区均为成熟小区，下楼就站牌，吃喝玩乐应有尽有（济南各大区都有直达车！）。（5）租客要求：养宠物者不租、不爱干净者不租、斤斤计较者不租、18岁以下及45岁以上者不租！该公寓遍布济南各个区域，欢迎骚扰！
急租！华夏福地洪家楼印象城德云社旁 历山学校双气电梯房,2室2厅1卫,整租,75,南北,高层 / 20层,历下,华夏福地,"历下花园路 - 花园路,近历山路",2500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",《21世纪不动产中住地产经纪有限公司》----置业顾问边昌鹏为您服务诚心为您推荐此房：1：【此房卖点】：历山国际九年连读2：【房源简介】：正规两室两厅一卫，两室朝阳，南北通透，户型方正好用3：【配套齐全】：双气（市政供暖）三线，停车方便4：【隶属学校】：属于重点学校5：【房屋产权】：70年大产权，证过两年免高税，无抵押无查封，产权明晰6：【位置优越】7;本人负责片区解放路历山路历山东路山大路山大南路历城区历下区
新出精装1室！家具家电齐全，拎包入住，临欧亚大观和谐广场,1室1厅1卫,整租,65,南北,低层 / 31层,槐荫,阳光100国际新城T区,槐荫阳光100 - 建新路,1600,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭']",1.【双气】：暖气+天然气2.【附属物】：公用停车位+充电桩3.【房龄】：2013年4.【配套】：外国语中小学连读，阳光100中小学连读5.【交通情况】：经十路、6.【物业费】：无7.【家电配套】：洗衣机，2台空调，热水器，冰箱，WIFI，电视机。8.【装修情况】：12万精装9.【如何看房】：车接车送10.【商业配套】：和谐广场，欧亚大观11.【生活配套】：省立医院、儿童医院、市立五院
无中介洪家楼花园路印象城恒泰花园精装单间空间大可月付,3室2厅2卫,合租 - 主卧 - 男女不限,30,南,低层 / 6层,历城,恒泰花园,历城山大路历城段 - 花园路220号,850,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭']",0~中~介~费，包物业费网费保洁费我们知道您需要什么样的房源，合理的价格，舒适的环境，步行的距离，好相处的室友。您需要的的正是我们在努力【房源描述】主卧、次卧，实体墙，专业售后，专业保洁。家电齐全，24热水，拎包入住【房源优势】周边生活方便、交通便利、超市、银行、小吃【我们对租客的要求】一，养宠物不租，二，不讲究公共卫生不租，三，吵闹不租对租客的严格要求，只为大家创造一个更舒适的环境，房源不止一套房源，不会让你白跑。我们不只关注租前，更关注每一个租客的入住体验【我们的周边房源】历下：中润世纪城，燕山财经大学附近，名士豪庭，东方天澍花园，高速花园，银座花园，荆山新居，学府蓝山，边防局宿舍，林溪花园，紫荆园，军安和平山庄，庆馨家园，经十路沿线，浆水泉路沿线，燕山立交桥沿线房源高新：丰奥嘉园、盛景家园、保利华庭、凯旋公馆、中铁汇苑、新生活家园、重汽1956、力高国际、，天桥、历城：全福立交桥、翡翠外滩，锦绣澜湾，路劲东城，历山吉第，山大二院附近，鑫苑名家，清河苑、明湖小区、恒大滨河左岸朗润园，红星美凯空附近，豪鲁大厦附近，黄台产业园附近，北园大街，历山北路、小清河附近、火车站附近。公司现在也在广纳贤才！1、青年公寓业务员，网络发帖，帅哥美女租客找到我们来租房，我们对其租住需求进行匹配，带看、签约，流程简直不要太简单！入职无责3000加提成，转正稳定5-8k;2、行政、人事、客服、公寓管家等内勤岗位，平均薪资4-8k。工作氛围融洽简单，法定节假日、学历补贴、缴纳社保等各项福利都在向你招手！历下、高新、天桥可以就近选择办公室。这是一个蓝海市场，简家公寓期待您的加入！
经十路南 紧邻欧亚大观和谐广场 家具家电齐全拎包入住,2室1厅1卫,整租,94,南北,低层 / 33层,槐荫,阳光100国际新城(K...,"槐荫阳光100 - 阳光新路,近西十里河东街",2500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",生活配套齐全交通便利封闭式小区人身安全有保障人文素质极高
北胡精装主卧阳台距离汉峪金谷一条街可短租可月付特价出租,3室2厅2卫,合租 - 主卧,32,南,高层 / 21层,高新,北胡灏苑(二区),高新汉峪 - 龙奥北路,899,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",房屋推荐特点：1、户型特点：中高层、户型方正、采光视野好，适宜居住。2、室内精装修，拎包入住，客厅宽敞大方，使用率高；卧室温馨舒适，搭配心怡；厨房设施齐全，让美味来得更加轻松。3、环境优雅，低密度社区，小区绿化率高，让你每天生活在空气清新的环境下。
南北朝阳大卧室，，有暖气，可做饭  拎包入住,3室1厅1卫,整租,120,南北,中层 / 18层,历城,赵家新苑,历城工业北路 - 凤凰路,2000,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",也许你一个人在外打拼，离乡背井，不远万里落脚这座城市，或是土生土长的你，决定从现在开始，搬离旧时光，独立生活从此，愿租房这件小事，为你留下美好回忆….....每人都是单独的卧室，单独的门锁，客厅公用的，有独立卫生间的也有不是独立卫生间的，价格跟面积大小而定，走位都是上班族，安静的生活只为品牌专属的你！！！！房源优势：1.不说装修多好，至少干净卫生，清净明亮。2.不像别的房居住人多且杂，品牌只为专属的你。3.小区交通便利，出门公交，闹中取静，成熟商圈，周边菜市场，超市，小吃街，无论你是购物狂，吃货，夜猫子，技术宅都能满足。4.租客*，三有不租，养宠物者不租，带老人者不租，无正当职业者不租，带小孩者不租，让合租的你住的更有品质。5.公司自己的房子，不是骗人，真的不收钱。6.服务周到，带你看遍济南商圈所有*，相信我，成就你。7.无线宽带、衣柜、大床、电脑桌、晾衣架、空调、24*热水器、暖气、冰箱、洗衣机、全套厨房可做饭特点：1.我们不定期打扫公共区域卫生，让您住得舒心，省心2.每户配有房管员，做您的贴身管家3.专业维修师傅，生活更加轻松4.押一付一，让您租房无压力5.100兆宽带，让你上网享受飞的感觉
好房推荐！阳光100凤凰街，欧亚大观，王官庄，泉景大厦送免租,3室2厅2卫,合租 - 主卧,26,南,中层 / 21层,市中,泉景天沅秀园,市中郎茂山 - 刘长山路33号,600,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",1.小区周边配套丰富，饭店，超市，生活十分便利！地理位置优越交通便利，多路公交经过家门口，附近公交车交通便捷！2.家里有床、衣柜，桌子椅子，空调等家具一应俱全3.有厨房，可以做饭4.房源价格低廉5.物品损坏24*内免费上门维修6.客服每星期定期检查卫生，排除电路水路等安全隐患7.租赁期间如有各项问题，我们客服为您排解解难协调调解！！！重要的是无-中-介-费！！！温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租*若您觉得此房源不能满足您的需求，本人拥有区域所有在租房源，欢迎点击我的主页进入我的网点，里面有更多的真实照片及价格的房源供您挑选，直到您满意!
精装特惠有暖气，紧邻环宇城，二环南路，省离南院，学而思，,3室2厅2卫,合租 - 主卧,26,南,高层 / 34层,市中,中海国际社区,市中二环南路 - 二环南路,699,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']","无中介费!!无!!1,所有客房标配温馨风格家具、双气三线电梯。2,提供上门维修服务。3定期一次保洁上1]服务,卫生间、公共区域客厅进行打扫。4,专属管家服务,安全保障。5,长租短租均可,付款灵活,让您安心入住。6,A独立卫浴宽阔阳台1300-1500B落地飘窗1000-1200C双人套间800-1000D精致雅间600-900多样户型任您挑选"
